key,dependencies,units,values,,,,,,,,,,
heat_sizing_factor,,,1,2,,,,,,,,,
cool_sizing_factor,,,1,2,,,,,,,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical,,,,,
foundation_insul,":foundation_type=>""Exterior Vertical""",R-IP,0,10,,,,,,,,,
slab_insulation_extent,":foundation_type=>""Exterior Vertical""",in,0,24,,,,,,,,,
below_grade_wall_insul,,R-IP,0,20,,,,,,,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete Roof,,,,,,
roof_reflectance,,,0.2,0.8,,,,,,,,,
roof_emittance,,,0.25,0.95,,,,,,,,,
roof_base_cavity_insul,":roof_base_type=>""Attic Roof with Steel Joists""",R-IP,0,38,,,,,,,,,
roof_base_cont_insul,,R-IP,0,20,,,,,,,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile,,,,
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in,,,,,,,
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Framing at 16 in. on center,Wood Framing at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,R-IP,0,19,,,,,,,,,
wall_base_cont_insul,,R-IP,0,10,,,,,,,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab,,,
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in,,,,,,,,
window_u,,U-IP,0.15,0.8,,,,,,,,,
window_shgc,,,0.25,0.6,,,,,,,,,
window_transmittance,,,0.2,0.8,,,,,,,,,
thermal_bridging,,,TRUE,FALSE,,,,,,,,,
air_leakage,,CFM/ft2,0.15,1,,,,,,,,,
air_leakage_entry,,CFM/ft2,0.15,1.2,,,,,,,,,
lighting_density_entry,,W/ft2,0.4,2,,,,,,,,,
lighting_density_retail,,W/ft2,0.4,2,,,,,,,,,
lighting_density_office,,W/ft2,0.4,2,,,,,,,,,
lighting_controls,,,NONE,ADVANCED,,,,,,,,,
equipment_density_entry,,W/ft2,0,0.5,,,,,,,,,
equipment_density_retailpos,,W/ft2,0.5,2.5,,,,,,,,,
equipment_density_retail,,W/ft2,0.2,2,,,,,,,,,
equipment_density_office,,W/ft2,0.5,2,,,,,,,,,
occupant_density_entry,,1/ft2,0.01,0.05,,,,,,,,,
occupant_density_retail,,1/ft2,0.005,0.02,,,,,,,,,
occupant_density_office,,1/ft2,0.001,0.01,,,,,,,,,
internal_mass_area_ratio,,,1,3,,,,,,,,,
heating_setpoint,,F,65,75,,,,,,,,,
cooling_setpoint,,F,70,80,,,,,,,,,
heating_setpoint_setback,,F,50,70,,,,,,,,,
cooling_setpoint_setup,,F,70,90,,,,,,,,,
oa_area_entry,,CFM/ft2,0,0.18,,,,,,,,,
oa_area_retail,,CFM/ft2,0,0.18,,,,,,,,,
oa_area_office,,CFM/ft2,0,0.18,,,,,,,,,
oa_person_entry,,CFM,0,30,,,,,,,,,
oa_person_retail,,CFM,0,30,,,,,,,,,
oa_person_office,,CFM,0,30,,,,,,,,,
fan_eff_entry,,,0.4,0.7,,,,,,,,,
fan_rise_entry,,,0.4,0.7,,,,,,,,,
fan_motor_eff_entry,,,0.4,0.7,,,,,,,,,
fan_eff_retailpos,,,0.4,0.7,,,,,,,,,
fan_eff_retailfront,,,0.4,0.7,,,,,,,,,
fan_eff_retailcore,,,0.4,0.7,,,,,,,,,
fan_eff_office,,,0.4,0.7,,,,,,,,,
fan_rise,,in H2O,2,4,,,,,,,,,
fan_rise_retailcore,,in H2O,2,4,,,,,,,,,
fan_motor_eff_retailpos,,,0.8,0.9,,,,,,,,,
fan_motor_eff_retailfront,,,0.8,0.9,,,,,,,,,
fan_motor_eff_retailcore,,,0.8,0.9,,,,,,,,,
fan_motor_eff_office,,,0.8,0.9,,,,,,,,,
return_fan,,,FALSE,TRUE,,,,,,,,,
heating_coil_eff,,,0.75,0.95,,,,,,,,,
heating_coil_cop_retailpos,,,2,4,,,,,,,,,
heating_coil_cop_retailfront,,,2,4,,,,,,,,,
heating_coil_cop_retailcore,,,2,4,,,,,,,,,
heating_coil_cop_office,,,2,4,,,,,,,,,
heating_coil_eff_retailcore,,,0.75,0.95,,,,,,,,,
cooling_coil_cop_retailpos,,,2,4,,,,,,,,,
cooling_coil_cop_retailfront,,,2,4,,,,,,,,,
cooling_coil_cop_retailcore,,,2,4,,,,,,,,,
cooling_coil_cop_office,,,2,4,,,,,,,,,
economizer_type,,,NoEconomizer,DifferentialDryBulb,,,,,,,,,
economizer_high_limit,,F,45,65,,,,,,,,,
economizer_lockout,,,NoLockout,LockoutWithCompressor,LockoutWithHeating,,,,,,,,
economizer_type_retailcore,,,NoEconomizer,DifferentialDryBulb,FixedDryBulb,,,,,,,,
economizer_high_limit_retailcore,,F,45,65,,,,,,,,,
economizer_lockout_retailcore,,,NoLockout,LockoutWithCompressor,LockoutWithHeating,,,,,,,,
night_cycle,,,FALSE,TRUE,,,,,,,,,
water_heater_eff,,,0.75,0.95,,,,,,,,,
