key,dependencies,units,values,
foundation_insul,":foundation_type=>""Exterior Vertical""",R-IP,4,10
slab_insulation_extent,":foundation_type=>""Exterior Vertical""",in,2,24
roof_base_cavity_insul,":roof_base_type=>""Attic Roof with Steel Joists""",R-IP,4,38
roof_base_cont_insul,,R-IP,0,20
wall_base_cavity_insul,,R-IP,4,19
wall_base_cont_insul,,R-IP,0,10
window_u,,U-IP,0.15,0.8
window_shgc,,,0.25,0.6
air_leakage,,CFM/ft2,0.15,1.3
lighting_density,,W/ft2,0.4,2
lighting_density_elevator,,W/ft2,0.2,1
equipment_density,,W/ft2,0.5,2
equipment_density_elevator,,W/ft2,2,6
dhw_office,,GPM,0.1,10
dhw_temp,,F,90,200
oa_person_office,,CFM,1,20
oa_area_office,,CFM/ft2,0.1,2
hp_defrost_temp,,F,35,45
heating_coil_cop,,,1,4
fan_eff_supply,,,0.3,0.8
fan_rise_supply,,in H2O,0.1,2
cooling_coil_cop,,,1,4
ext_light_w,,W,1000,10000
water_heater_eff,,,0.75,0.95
supply_dhw_temp,,F,130,140
hp_min_temp,,F,-20,20
heating_setpoint,,F,65,75
cooling_setpoint,,F,70,80
