key,dependencies,units,values,,val ,high,low
foundation_insul,":foundation_type=>""Exterior Vertical""",R-IP,4,10,,,
slab_insulation_extent,":foundation_type=>""Exterior Vertical""",in,2,24,,,
roof_base_cavity_insul,":roof_base_type=>""Attic Roof with Steel Joists""",R-IP,4,38,,,
roof_base_cont_insul,,R-IP,0,20,,,
wall_base_cavity_insul,,R-IP,4,19,,,
wall_base_cont_insul,,R-IP,0,10,,,
window_u,,U-IP,0.15,0.8,,,
window_shgc,,,0.25,0.6,,,
air_leakage,,CFM/ft2,0.15,1,,,
lighting_density_auditorium,,W/ft2,0.4,2,,,
lighting_density_bath,,W/ft2,0.4,2,,,
lighting_density_cafeteria,,W/ft2,0.4,2,1.79,1.5,3
lighting_density_classroom,,W/ft2,0.4,2,0.7,0.2,1.5
lighting_density_computer,,W/ft2,0.4,2,0.5,0.5,3.5
lighting_density_corridor,,W/ft2,0.4,2,0.28,0.1,0.5
lighting_density_elevator,,W/ft2,0.4,2,,,
lighting_density_gym,,W/ft2,0.4,2,,,
lighting_density_kitchen,,W/ft2,0.4,2,,,
lighting_density_library,,W/ft2,0.4,2,,,
lighting_density_lobby,,W/ft2,0.4,2,,,
lighting_density_office,,W/ft2,0.4,2,,,
equipment_density_auditorium,,W/ft2,0.4,2,,,
equipment_density_bath,,W/ft2,0.4,2,,,
equipment_density_cafeteria,,W/ft2,1.5,4,,,
equipment_density_classroom,,W/ft2,0.5,2,,,
equipment_density_computer,,W/ft2,1,4,,,
equipment_density_corridor,,W/ft2,0.3,2,,,
equipment_density_gym,,W/ft2,2,6,,,
equipment_density_kitchen,,W/ft2,0.4,3,,,
equipment_density_kitchen_exhfan,,W/ft2,0.2,4,,,
equipment_density_library,,W/ft2,0.5,4,,,
equipment_density_lobby,,W/ft2,0.3,2,,,
equipment_density_mechanical,,W/ft2,0.3,4,,,
equipment_density_elevator,,W/ft2,6,15,,,
equipment_density_office,,W/ft2,0.5,2,,,
gas_max_kitchen,,W,100000,6000000,362600,200000,500000
dhw_bath,,GPM,0.5,5,,,
dhw_gym,,GPM,2,10,,,
dhw_kitchen,,GPM,1,5,,,
dhw_temp_bath,,F,100,140,,,
dhw_temp_gym,,F,100,140,,,
dhw_temp_kitchen,,F,100,140,,,
oa_person_auditorium,,CFM,5,20,,,
oa_person_auxgym,,CFM,10,50,,,
oa_person_cafeteria,,CFM,4,15,,,
oa_person_classroom,,CFM,5,20,,,
oa_person_computer,,CFM,5,20,,,
oa_person_gym,,CFM,10,40,,,
oa_person_kitchen,,CFM,5,15,,,
oa_person_library,,CFM,5,15,,,
oa_person_lobby,,CFM,2,10,,,
oa_person_mechanical,,CFM,2,10,,,
oa_person_office,,CFM,2,10,,,
oa_area_auditorium,,CFM/ft2,0.02,1.5,,,
oa_area_auxgym,,CFM/ft2,0.02,1.5,,,
oa_area_bath,,CFM/ft2,0.02,1.5,,,
oa_area_cafeteria,,CFM/ft2,0.02,1.5,,,
oa_area_classroom,,CFM/ft2,0.02,1.5,,,
oa_area_computer,,CFM/ft2,0.02,1.5,,,
oa_area_corridor,,CFM/ft2,0.02,1.5,,,
oa_area_gym,,CFM/ft2,0.02,1.5,,,
oa_area_kitchen,,CFM/ft2,0.02,1.5,,,
oa_area_library,,CFM/ft2,0.02,1.5,,,
oa_area_lobby,,CFM/ft2,0.02,1.5,,,
oa_area_mechanical,,CFM/ft2,0.02,1.5,,,
oa_area_office,,CFM/ft2,0.02,1.5,,,
fan_eff,,,0.4,0.85,,,
fan_eff_kitchen,,,0.4,0.85,,,
fan_eff_gym,,,0.4,0.85,,,
fan_rise,,in H2O,2,6,,,
fan_rise_kitchen,,in H2O,2,6,,,
fan_rise_gym,,in H2O,2,6,,,
heating_coil_eff,,,0.5,0.95,,,
heating_coil_eff_kitchen,,,0.5,0.95,,,
cooling_coil_cop,,,2,4,,,
cooling_coil_cop_kitchen,,,2,4,,,
cooling_coil_cop_gym,,,2,4,,,
ext_light_w,,W,5000,50000,,,
water_heater_eff,,,0.75,0.95,,,
heating_setpoint,,F,65,75,70,65,72
cooling_setpoint,,F,70,80,75,68,85
